churned,tenure_months,monthly_charges,contract_type,support_tickets,age,payment_method
No,53,52.79,Two year,4.0,33,Bank transfer
Yes,5,20.43,Month-to-month,3.0,54,Credit card
No,17,23.52,Month-to-month,4.0,30,Paypal
No,38,75.01,Month-to-month,2.0,76,Bank transfer
No,68,27.59,One year,0.0,20,Paypal
Yes,55,40.25,Month-to-month,6.0,20,Paypal
No,59,53.33,Month-to-month,0.0,38,Paypal
No,14,27.05,One year,2.0,75,Paypal
Yes,21,23.09,Month-to-month,0.0,31,Bank transfer
No,20,112.69,One year,1.0,80,Bank transfer
Yes,54,63.52,Month-to-month,4.0,39,Credit card
No,39,40.49,One year,0.0,39,Paypal
Yes,16,90.85,Month-to-month,1.0,24,Bank transfer
No,54,20.94,One year,2.0,63,Paypal
No,46,44.5,Two year,2.0,72,Credit card
No,65,116.07,One year,6.0,69,Paypal
No,41,109.77,Month-to-month,1.0,27,Credit card
No,10,83.59,Month-to-month,1.0,59,Bank transfer
No,64,29.32,Month-to-month,5.0,46,Paypal
No,14,51.81,Month-to-month,3.0,36,Cash
Yes,4,22.79,Month-to-month,3.0,66,Bank transfer
No,58,41.92,Month-to-month,6.0,57,Bank transfer
No,33,22.54,Two year,1.0,72,Bank transfer
No,47,32.62,One year,0.0,73,Bank transfer
No,10,83.32,Two year,6.0,71,Credit card
No,52,30.04,One year,2.0,24,Bank transfer
No,30,35.58,Month-to-month,2.0,57,Cash
No,72,110.28,Month-to-month,5.0,48,Bank transfer
No,46,53.55,Month-to-month,4.0,29,Bank transfer
No,68,53.3,Month-to-month,0.0,19,Credit card
No,58,28.65,Month-to-month,6.0,30,Paypal
Yes,61,99.59,One year,6.0,71,Paypal
No,7,87.64,Month-to-month,0.0,61,Paypal
No,56,74.71,Month-to-month,5.0,67,Cash
No,44,81.79,Month-to-month,1.0,74,Paypal
No,29,30.04,One year,1.0,20,Paypal
